ID,WKT
0,"POLYGON ((11.544173930673830 46.865240326835043,12.055578993495207 48.084767624046599,10.441260284407551 48.244330800084633,9.995229633242426 47.012226290746462,11.544173930673830 46.865240326835043))"
1,"POLYGON ((8.657948323237804 47.753727967615106,8.851494069127982 48.378544258834033,8.066890733899063 48.436477197514378,7.890037643700349 47.809300882788520,8.657948323237804 47.753727967615106))"
2,"POLYGON ((10.652185049067780 46.639318700507069,10.766791213404071 46.941721554994253,10.380257658858904 46.977713785060551,10.269583586481723 46.674580196949513,10.652185049067780 46.639318700507069))"
3,"POLYGON ((10.428747275774448 46.039548849669792,10.539518852419750 46.338590041098833,10.160788587390531 46.373136180484892,10.053828529427479 46.073394686114902,10.428747275774448 46.039548849669792))"
4,"POLYGON ((9.680426512250161 46.105845490035861,9.783571982694893 46.406259606503959,9.407915444857883 46.437975025984592,9.308586289659647 46.136915813539851,9.680426512250161 46.105845490035861))"
5,"POLYGON ((6.963712840921955 45.691936717399933,7.037600675355394 45.992663659611345,6.681615068578809 46.014062785969692,6.611395946234934 45.712897297262657,6.963712840921955 45.691936717399933))"
6,"POLYGON ((6.464116618699084 46.642910035436380,6.534218724673702 46.949985685189482,6.170711962889471 46.970172646973730,6.104448397961738 46.662681089252494,6.464116618699084 46.642910035436380))"
7,"POLYGON ((9.330477287543582 47.383745846804587,9.432845173937748 47.692324919085756,9.044547666876324 47.723763868020839,8.946251898069836 47.414541077371524,9.330477287543582 47.383745846804587))"
8,"POLYGON ((9.995229633242426 47.012226290746462,10.103828908856151 47.317752769742185,9.716352617103505 47.351488447245529,9.611756365859899 47.045274080557789,9.995229633242426 47.012226290746462))"
9,"POLYGON ((10.324682927428352 46.825936635828640,10.380257658858904 46.977713785060551,10.187552358645426 46.995154076575552,10.132965400239520 46.843198700325047,10.324682927428352 46.825936635828640))"
10,"POLYGON ((10.214953992495069 46.523646163807513,10.269583586481723 46.674580196949513,10.078846076221456 46.691665924396702,10.025188822182960 46.540557424138868,10.214953992495069 46.523646163807513))"
11,"POLYGON ((10.160788587390531 46.373136180484892,10.214953992495069 46.523646163807513,10.025188822182960 46.540557424138868,9.971988158246930 46.389874823814203,10.160788587390531 46.373136180484892))"
12,"POLYGON ((9.123265715833407 46.151937956823744,9.171768233492607 46.302405751588800,8.985904292042999 46.317240330269556,8.938352126244570 46.166620624623214,9.123265715833407 46.151937956823744))"
13,"POLYGON ((9.171768233492607 46.302405751588800,9.220686480841518 46.453309447844248,9.033864565673641 46.468297578177882,8.985904292042999 46.317240330269556,9.171768233492607 46.302405751588800))"
14,"POLYGON ((9.783571982694893 46.406259606503959,9.835807547590688 46.557111321777960,9.646816030348532 46.573309718799550,9.595545836590231 46.422292380802148,9.783571982694893 46.406259606503959))"
15,"POLYGON ((9.595545836590231 46.422292380802148,9.646816030348532 46.573309718799550,9.458220080722731 46.589154504837836,9.407915444857883 46.437975025984592,9.595545836590231 46.422292380802148))"
16,"POLYGON ((9.646816030348532 46.573309718799550,9.698527496824488 46.724756553235480,9.508958273649842 46.740765226376702,9.458220080722731 46.589154504837836,9.646816030348532 46.573309718799550))"
17,"POLYGON ((9.941630930561736 46.860096294078240,9.995229633242426 47.012226290746462,9.803295610561424 47.028932318644841,9.750685556024823 46.876631298579809,9.941630930561736 46.860096294078240))"
18,"POLYGON ((9.750685556024823 46.876631298579809,9.803295610561424 47.028932318644841,9.611756365859899 47.045274080557789,9.560135262032682 46.892805623974340,9.750685556024823 46.876631298579809))"
19,"POLYGON ((9.270025456943349 46.604647596568917,9.319790238444844 46.756418699476335,9.131029182638482 46.771718927085871,9.082237864552971 46.619790937190466,9.270025456943349 46.604647596568917))"
20,"POLYGON ((9.407915444857883 46.437975025984592,9.458220080722731 46.589154504837836,9.270025456943349 46.604647596568917,9.220686480841518 46.453309447844248,9.407915444857883 46.437975025984592))"
