Level,WKT
0,"POLYGON ((-45.000000000000000 -35.264389682754654,0.000000000000000 -45.000000000000000,0.000000000000000 0.000000000000000,-45.000000000000000 0.000000000000000,-45.000000000000000 -35.264389682754654))"
1,"POLYGON ((90.000000000000000 -45.000000000000000,135.000000000000000 -35.264389682754654,135.000000000000000 0.000000000000000,90.000000000000000 0.000000000000000,90.000000000000000 -45.000000000000000))"
2,"POLYGON ((22.619864948040426 0.000000000000000,45.000000000000000 0.000000000000000,45.000000000000000 16.416440373585463,22.619864948040423 21.037511025421814,22.619864948040426 0.000000000000000))"
3,"POLYGON ((22.619864948040426 -42.709389957361473,45.000000000000000 -35.264389682754654,45.000000000000000 -16.416440373585463,22.619864948040423 -21.037511025421814,22.619864948040426 -42.709389957361473))"
4,"POLYGON ((112.619864948040430 0.000000000000000,135.000000000000000 0.000000000000000,135.000000000000000 16.416440373585463,112.619864948040430 21.037511025421814,112.619864948040430 0.000000000000000))"
5,"POLYGON ((45.000000000000000 35.264389682754654,67.380135051959570 42.709389957361473,45.000000000000000 59.491041133797204,22.619864948040426 42.709389957361473,45.000000000000000 35.264389682754654))"
6,"POLYGON ((67.380135051959570 42.709389957361473,90.000000000000000 45.000000000000000,90.000000000000000 67.380135051959584,45.000000000000000 59.491041133797204,67.380135051959570 42.709389957361473))"
7,"POLYGON ((90.000000000000000 45.000000000000000,112.619864948040430 42.709389957361473,135.000000000000000 59.491041133797204,90.000000000000000 67.380135051959584,90.000000000000000 45.000000000000000))"
8,"POLYGON ((157.380135051959570 -21.037511025421814,157.380135051959570 -42.709389957361473,180.000000000000000 -45.000000000000000,180.000000000000000 -22.619864948040426,157.380135051959570 -21.037511025421814))"
9,"POLYGON ((-157.380135051959570 21.037511025421814,-157.380135051959570 0.000000000000000,-135.000000000000000 0.000000000000000,-135.000000000000000 16.416440373585463,-157.380135051959570 21.037511025421814))"
10,"POLYGON ((-67.380135051959584 21.037511025421814,-67.380135051959584 0.000000000000000,-45.000000000000000 0.000000000000000,-45.000000000000000 16.416440373585463,-67.380135051959584 21.037511025421814))"
11,"POLYGON ((-90.000000000000000 22.619864948040426,-90.000000000000000 0.000000000000000,-67.380135051959584 0.000000000000000,-67.380135051959584 21.037511025421814,-90.000000000000000 22.619864948040426))"
12,"POLYGON ((-90.000000000000000 0.000000000000000,-90.000000000000000 -22.619864948040426,-67.380135051959584 -21.037511025421814,-67.380135051959584 0.000000000000000,-90.000000000000000 0.000000000000000))"
13,"POLYGON ((-67.380135051959584 0.000000000000000,-67.380135051959584 -21.037511025421814,-45.000000000000000 -16.416440373585463,-45.000000000000000 0.000000000000000,-67.380135051959584 0.000000000000000))"
14,"POLYGON ((-10.619655276155134 22.270575488008195,0.000000000000000 22.619864948040426,0.000000000000000 34.508522987668400,-10.619655276155134 34.047862969434313,-10.619655276155134 22.270575488008195))"
15,"POLYGON ((10.619655276155134 22.270575488008195,22.619864948040423 21.037511025421814,22.619864948040426 32.399840173919323,10.619655276155134 34.047862969434313,10.619655276155134 22.270575488008195))"
16,"POLYGON ((34.508522987668400 29.532803705822648,45.000000000000000 25.926050881945805,45.000000000000000 35.264389682754654,34.508522987668400 39.489953235912523,34.508522987668400 29.532803705822648))"
17,"POLYGON ((100.619655276155143 10.441798171725758,112.619864948040430 9.819300638757900,112.619864948040430 21.037511025421814,100.619655276155143 22.270575488008195,100.619655276155143 10.441798171725758))"
18,"POLYGON ((124.508522987668414 18.949950004453903,135.000000000000000 16.416440373585463,135.000000000000000 25.926050881945805,124.508522987668414 29.532803705822648,124.508522987668414 18.949950004453903))"
19,"POLYGON ((124.508522987668414 29.532803705822648,135.000000000000000 25.926050881945805,135.000000000000000 35.264389682754654,124.508522987668414 39.489953235912523,124.508522987668414 29.532803705822648))"
20,"POLYGON ((100.619655276155143 22.270575488008195,112.619864948040430 21.037511025421814,112.619864948040430 32.399840173919323,100.619655276155143 34.047862969434313,100.619655276155143 22.270575488008195))"
21,"POLYGON ((90.000000000000000 34.508522987668400,100.619655276155143 34.047862969434313,100.619655276155143 44.505098209896218,90.000000000000000 45.000000000000000,90.000000000000000 34.508522987668400))"
22,"POLYGON ((79.380344723844871 10.441798171725758,90.000000000000000 10.619655276155134,90.000000000000000 22.619864948040426,79.380344723844871 22.270575488008195,79.380344723844871 10.441798171725758))"
23,"POLYGON ((67.380135051959584 9.819300638757900,79.380344723844871 10.441798171725758,79.380344723844871 22.270575488008195,67.380135051959584 21.037511025421814,67.380135051959584 9.819300638757900))"
24,"POLYGON ((-74.744881296942225 54.525961350264645,-90.000000000000000 55.491477012331607,-90.000000000000000 45.000000000000000,-79.380344723844871 44.505098209896218,-74.744881296942225 54.525961350264645))"
25,"POLYGON ((-90.000000000000000 55.491477012331607,-105.255118703057789 54.525961350264645,-100.619655276155143 44.505098209896218,-90.000000000000000 45.000000000000000,-90.000000000000000 55.491477012331607))"
26,"POLYGON ((-105.255118703057789 54.525961350264645,-121.218402764346379 51.203935531609211,-112.619864948040430 42.709389957361473,-100.619655276155143 44.505098209896218,-105.255118703057789 54.525961350264645))"
27,"POLYGON ((135.000000000000000 45.805468481343837,145.491477012331586 39.489953235912523,157.380135051959570 42.709389957361473,148.781597235653607 51.203935531609211,135.000000000000000 45.805468481343837))"
28,"POLYGON ((145.491477012331586 39.489953235912523,145.491477012331586 29.532803705822648,157.380135051959570 32.399840173919323,157.380135051959570 42.709389957361473,145.491477012331586 39.489953235912523))"
29,"POLYGON ((-124.508522987668414 29.532803705822648,-124.508522987668414 18.949950004453903,-112.619864948040430 21.037511025421814,-112.619864948040430 32.399840173919323,-124.508522987668414 29.532803705822648))"
