Level,WKT
0,"POLYGON ((10.839425915784465 45.085006580520243,11.066536404102045 45.671727887764462,10.319826316657764 45.742207587498505,10.107366682088697 45.152670735550693,10.839425915784465 45.085006580520243))"
1,"POLYGON ((11.066536404102045 45.671727887764462,11.301330795731273 46.265173053995504,10.539518852419750 46.338590041098833,10.319826316657764 45.742207587498505,11.066536404102045 45.671727887764462))"
2,"POLYGON ((11.301330795731273 46.265173053995504,11.544173930673830 46.865240326835043,10.766791213404071 46.941721554994253,10.539518852419750 46.338590041098833,11.301330795731273 46.265173053995504))"
3,"POLYGON ((5.850576624720192 45.451122689094198,5.975330264796998 46.053202718844702,5.276863774082669 46.087582359099265,5.166521845413491 45.484103689038172,5.850576624720192 45.451122689094198))"
4,"POLYGON ((8.657948323237804 47.753727967615106,8.851494069127982 48.378544258834033,8.066890733899063 48.436477197514378,7.890037643700349 47.809300882788520,8.657948323237804 47.753727967615106))"
5,"POLYGON ((7.890037643700349 47.809300882788520,8.066890733899063 48.436477197514378,7.289681472358652 48.488487251398382,7.129490384596060 47.859186390446467,7.890037643700349 47.809300882788520))"
6,"POLYGON ((6.238149795162474 47.279485921695851,6.376667717196534 47.903533507476965,5.631914209899628 47.942496931670100,5.509358437021368 47.316853801355215,6.238149795162474 47.279485921695851))"
7,"POLYGON ((7.129490384596060 47.859186390446467,7.289681472358652 48.488487251398382,6.520251116222113 48.534727863144262,6.376667717196534 47.903533507476965,7.129490384596060 47.859186390446467))"
8,"POLYGON ((9.432845173937748 47.692324919085756,9.643089831338296 48.314541832926466,8.851494069127982 48.378544258834033,8.657948323237804 47.753727967615106,9.432845173937748 47.692324919085756))"
9,"POLYGON ((10.214335495271671 47.624955908553474,10.441260284407551 48.244330800084633,9.643089831338296 48.314541832926466,9.432845173937748 47.692324919085756,10.214335495271671 47.624955908553474))"
10,"POLYGON ((11.002011863424590 47.551492602470823,11.245572438518327 48.167780155177383,10.441260284407551 48.244330800084633,10.214335495271671 47.624955908553474,11.002011863424590 47.551492602470823))"
11,"POLYGON ((10.212713269967283 45.446577920501277,10.319826316657764 45.742207587498505,9.948660598476254 45.775367859471153,9.845243251151341 45.479067057454735,10.212713269967283 45.446577920501277))"
12,"POLYGON ((10.652185049067780 46.639318700507069,10.766791213404071 46.941721554994253,10.380257658858904 46.977713785060551,10.269583586481723 46.674580196949513,10.652185049067780 46.639318700507069))"
13,"POLYGON ((10.269583586481723 46.674580196949513,10.380257658858904 46.977713785060551,9.995229633242426 47.012226290746462,9.888492063376068 46.708390752550592,10.269583586481723 46.674580196949513))"
14,"POLYGON ((10.428747275774448 46.039548849669792,10.539518852419750 46.338590041098833,10.160788587390531 46.373136180484892,10.053828529427479 46.073394686114902,10.428747275774448 46.039548849669792))"
15,"POLYGON ((9.407915444857883 46.437975025984592,9.508958273649842 46.740765226376702,9.131029182638482 46.771718927085871,9.033864565673641 46.468297578177882,9.407915444857883 46.437975025984592))"
16,"POLYGON ((9.033864565673641 46.468297578177882,9.131029182638482 46.771718927085871,8.754750905229029 46.801267596105795,8.661464101722173 46.497242818376414,9.033864565673641 46.468297578177882))"
17,"POLYGON ((9.131029182638482 46.771718927085871,9.229886243727718 47.076872630420745,8.849666788199317 47.107037866411112,8.754750905229029 46.801267596105795,9.131029182638482 46.771718927085871))"
18,"POLYGON ((6.891069374014958 45.393040651983753,6.963712840921955 45.691936717399933,6.611395946234934 45.712897297262657,6.542361523053867 45.413572129646766,6.891069374014958 45.393040651983753))"
19,"POLYGON ((6.195519272408035 45.432927185209429,6.260953654885048 45.732657298308929,5.912421020893037 45.751233868685681,5.850576624720192 45.451122689094198,6.195519272408035 45.432927185209429))"
20,"POLYGON ((5.975330264796998 46.053202718844702,6.039330422848942 46.357021331906907,5.685402082925755 46.375170733979175,5.625102452028965 46.070978641244679,5.975330264796998 46.053202718844702))"
21,"POLYGON ((6.039330422848942 46.357021331906907,6.104448397961738 46.662681089252494,5.746756556942639 46.681212247418209,5.685402082925755 46.375170733979175,6.039330422848942 46.357021331906907))"
22,"POLYGON ((6.104448397961738 46.662681089252494,6.170711962889471 46.970172646973730,5.809192147294613 46.989094026727926,5.746756556942639 46.681212247418209,6.104448397961738 46.662681089252494))"
23,"POLYGON ((5.809192147294613 46.989094026727926,5.872735986136028 47.298806182319765,5.509358437021368 47.316853801355215,5.449696982195687 47.006768685290218,5.809192147294613 46.989094026727926))"
24,"POLYGON ((6.534218724673702 46.949985685189482,6.605560947618245 47.258873840373717,6.238149795162474 47.279485921695851,6.170711962889471 46.970172646973730,6.534218724673702 46.949985685189482))"
25,"POLYGON ((6.464116618699084 46.642910035436380,6.534218724673702 46.949985685189482,6.170711962889471 46.970172646973730,6.104448397961738 46.662681089252494,6.464116618699084 46.642910035436380))"
26,"POLYGON ((7.554599845652008 46.575976112457930,7.636268925612545 46.881646961027428,7.267037353541672 46.905740975426411,7.189231261228175 46.599575397259066,7.554599845652008 46.575976112457930))"
27,"POLYGON ((8.007326876811252 46.856214866534216,8.094365503789035 47.163134246899688,7.719374198948144 47.189099336386001,7.636268925612545 46.881646961027428,8.007326876811252 46.856214866534216))"
28,"POLYGON ((8.182942307483673 47.471811700564750,8.273095764013863 47.782234426085687,7.890037643700349 47.809300882788520,7.803951454258062 47.498321489833778,8.182942307483673 47.471811700564750))"
29,"POLYGON ((7.346214572122230 47.213698966386296,7.426797197471997 47.523437866766713,7.051523788871876 47.547179009230049,6.974929515996146 47.236951049105357,7.346214572122230 47.213698966386296))"
30,"POLYGON ((6.974929515996146 47.236951049105357,7.051523788871876 47.547179009230049,6.678174481177183 47.569563453665346,6.605560947618245 47.258873840373717,6.974929515996146 47.236951049105357))"
31,"POLYGON ((6.678174481177183 47.569563453665346,6.752091546823504 47.882042705165048,6.376667717196534 47.903533507476965,6.306791513700322 47.590610076572560,6.678174481177183 47.569563453665346))"
32,"POLYGON ((6.605560947618245 47.258873840373717,6.678174481177183 47.569563453665346,6.306791513700322 47.590610076572560,6.238149795162474 47.279485921695851,6.605560947618245 47.258873840373717))"
33,"POLYGON ((9.229886243727718 47.076872630420745,9.330477287543582 47.383745846804587,8.946251898069836 47.414541077371524,8.849666788199317 47.107037866411112,9.229886243727718 47.076872630420745))"
34,"POLYGON ((9.995229633242426 47.012226290746462,10.103828908856151 47.317752769742185,9.716352617103505 47.351488447245529,9.611756365859899 47.045274080557789,9.995229633242426 47.012226290746462))"
35,"POLYGON ((10.103828908856151 47.317752769742185,10.214335495271671 47.624955908553474,9.822791278903674 47.659394362514384,9.716352617103505 47.351488447245529,10.103828908856151 47.317752769742185))"
36,"POLYGON ((10.766791213404071 46.941721554994253,10.883384088214916 47.245784503852761,10.492856304086581 47.282523173548633,10.380257658858904 46.977713785060551,10.766791213404071 46.941721554994253))"
37,"POLYGON ((9.896735649937256 45.627001025946726,9.948660598476254 45.775367859471153,9.763644678739034 45.791434146949690,9.712647619129152 45.642903657070974,9.896735649937256 45.627001025946726))"
38,"POLYGON ((10.539518852419750 46.338590041098833,10.595612321115869 46.488744247649350,10.405097146225662 46.506375706782947,10.349967444009794 46.356041851803731,10.539518852419750 46.338590041098833))"
39,"POLYGON ((10.349967444009794 46.356041851803731,10.405097146225662 46.506375706782947,10.214953992495069 46.523646163807513,10.160788587390531 46.373136180484892,10.349967444009794 46.356041851803731))"
40,"POLYGON ((10.405097146225662 46.506375706782947,10.460698594197900 46.657131727006984,10.269583586481723 46.674580196949513,10.214953992495069 46.523646163807513,10.405097146225662 46.506375706782947))"
41,"POLYGON ((10.595612321115869 46.488744247649350,10.652185049067780 46.639318700507069,10.460698594197900 46.657131727006984,10.405097146225662 46.506375706782947,10.595612321115869 46.488744247649350))"
42,"POLYGON ((10.025188822182960 46.540557424138868,10.078846076221456 46.691665924396702,9.888492063376068 46.708390752550592,9.835807547590688 46.557111321777960,10.025188822182960 46.540557424138868))"
43,"POLYGON ((10.214953992495069 46.523646163807513,10.269583586481723 46.674580196949513,10.078846076221456 46.691665924396702,10.025188822182960 46.540557424138868,10.214953992495069 46.523646163807513))"
44,"POLYGON ((10.160788587390531 46.373136180484892,10.214953992495069 46.523646163807513,10.025188822182960 46.540557424138868,9.971988158246930 46.389874823814203,10.160788587390531 46.373136180484892))"
45,"POLYGON ((9.919238687518311 46.239619697096231,9.971988158246930 46.389874823814203,9.783571982694893 46.406259606503959,9.731780050223323 46.255837161095080,9.919238687518311 46.239619697096231))"
