# ID,WKT
0,"POLYGON ((11.544173930673830 46.865240326835043,12.604147283761835 49.329222179374099,9.260221531171478 49.648301643763276,8.471144633014832 47.135786147293089,11.544173930673830 46.865240326835043))"
1,"POLYGON ((11.066536404102045 45.671727887764462,11.544173930673830 46.865240326835043,9.995229633242426 47.012226290746462,9.579014061982095 45.807160242475511,11.066536404102045 45.671727887764462))"
2,"POLYGON ((9.579014061982095 45.807160242475511,9.783571982694893 46.406259606503959,9.033864565673641 46.468297578177882,8.844452822672201 45.866699322341717,9.579014061982095 45.807160242475511))"
3,"POLYGON ((9.783571982694893 46.406259606503959,9.995229633242426 47.012226290746462,9.229886243727718 47.076872630420745,9.033864565673641 46.468297578177882,9.783571982694893 46.406259606503959))"
4,"POLYGON ((9.033864565673641 46.468297578177882,9.229886243727718 47.076872630420745,8.471144633014832 47.135786147293089,8.290757955202984 46.524826701378764,9.033864565673641 46.468297578177882))"
5,"POLYGON ((6.825723722447417 46.621880804618932,6.974929515996146 47.236951049105357,6.238149795162474 47.279485921695851,6.104448397961738 46.662681089252494,6.825723722447417 46.621880804618932))"
6,"POLYGON ((7.395432663659406 45.970022128466184,7.554599845652008 46.575976112457930,6.825723722447417 46.621880804618932,6.681615068578809 46.014062785969692,7.395432663659406 45.970022128466184))"
7,"POLYGON ((8.116483200736917 45.920944695035978,8.290757955202984 46.524826701378764,7.554599845652008 46.575976112457930,7.395432663659406 45.970022128466184,8.116483200736917 45.920944695035978))"
8,"POLYGON ((8.471144633014832 47.135786147293089,8.657948323237804 47.753727967615113,7.890037643700349 47.809300882788520,7.719374198948144 47.189099336386001,8.471144633014832 47.135786147293089))"
9,"POLYGON ((7.719374198948144 47.189099336386001,7.890037643700349 47.809300882788520,7.129490384596060 47.859186390446467,6.974929515996146 47.236951049105357,7.719374198948144 47.189099336386001))"
10,"POLYGON ((6.753047738292168 46.317060295376415,6.825723722447417 46.621880804618932,6.464116618699084 46.642910035436380,6.395224423808759 46.337657179846090,6.753047738292168 46.317060295376415))"
11,"POLYGON ((6.395224423808759 46.337657179846090,6.464116618699084 46.642910035436380,6.104448397961738 46.662681089252494,6.039330422848942 46.357021331906907,6.395224423808759 46.337657179846090))"
12,"POLYGON ((6.327512883644395 46.034236662728617,6.395224423808759 46.337657179846090,6.039330422848942 46.357021331906907,5.975330264796998 46.053202718844702,6.327512883644395 46.034236662728617))"
13,"POLYGON ((7.267037353541672 46.905740975426419,7.346214572122230 47.213698966386296,6.974929515996146 47.236951049105357,6.899673743247255 46.928514557723190,7.267037353541672 46.905740975426419))"
14,"POLYGON ((7.636268925612545 46.881646961027428,7.719374198948144 47.189099336386001,7.346214572122230 47.213698966386296,7.267037353541672 46.905740975426419,7.636268925612545 46.881646961027428))"
15,"POLYGON ((7.189231261228175 46.599575397259066,7.267037353541672 46.905740975426419,6.899673743247255 46.928514557723190,6.825723722447417 46.621880804618932,7.189231261228175 46.599575397259066))"
16,"POLYGON ((8.290757955202984 46.524826701378764,8.380168685344744 46.829427390640269,8.007326876811252 46.856214866534216,7.921789156095402 46.551065564828775,8.290757955202984 46.524826701378764))"
17,"POLYGON ((8.380168685344744 46.829427390640269,8.471144633014832 47.135786147293089,8.094365503789035 47.163134246899688,8.007326876811252 46.856214866534216,8.380168685344744 46.829427390640269))"
18,"POLYGON ((7.921789156095402 46.551065564828775,7.964372686747577 46.703418236209217,7.779589516493124 46.716169846091240,7.737969466102237 46.563685820297188,7.921789156095402 46.551065564828775))"
19,"POLYGON ((7.737969466102237 46.563685820297188,7.779589516493124 46.716169846091240,7.595257054029791 46.728588142058683,7.554599845652008 46.575976112457930,7.737969466102237 46.563685820297188))"
20,"POLYGON ((7.779589516493124 46.716169846091240,7.821572239590209 46.869099263453577,7.636268925612545 46.881646961027428,7.595257054029791 46.728588142058683,7.779589516493124 46.716169846091240))"
