# ID,WKT
0,"POLYGON ((10.619655276155134 44.505098209896218,11.066536404102045 45.671727887764462,9.579014061982095 45.807160242475511,9.189905212974633 44.629917687254505,10.619655276155134 44.505098209896218))"
1,"POLYGON ((7.785140143296171 44.734731955777214,8.116483200736917 45.920944695035978,6.681615068578809 46.014062785969692,6.407735769346235 44.820472445526754,7.785140143296171 44.734731955777214))"
2,"POLYGON ((6.407735769346235 44.820472445526754,6.681615068578809 46.014062785969692,5.276863774082669 46.087582359099265,5.059868846264116 44.888143788910511,6.407735769346235 44.820472445526754))"
3,"POLYGON ((6.974929515996146 47.236951049105357,7.289681472358652 48.488487251398382,5.758967068036454 48.575358667176111,5.509358437021368 47.316853801355215,6.974929515996146 47.236951049105357))"
4,"POLYGON ((11.544173930673830 46.865240326835043,12.055578993495207 48.084767624046599,10.441260284407551 48.244330800084640,9.995229633242426 47.012226290746462,11.544173930673830 46.865240326835043))"
5,"POLYGON ((10.319826316657764 45.742207587498505,10.539518852419750 46.338590041098833,9.783571982694893 46.406259606503959,9.579014061982095 45.807160242475511,10.319826316657764 45.742207587498505))"
6,"POLYGON ((9.381228028104058 45.215019816424885,9.579014061982095 45.807160242475511,8.844452822672201 45.866699322341717,8.661343312400062 45.272164863639631,9.381228028104058 45.215019816424885))"
7,"POLYGON ((5.975330264796998 46.053202718844702,6.104448397961738 46.662681089252494,5.391077632520810 46.698522056323910,5.276863774082669 46.087582359099265,5.975330264796998 46.053202718844702))"
8,"POLYGON ((6.104448397961738 46.662681089252494,6.238149795162474 47.279485921695851,5.509358437021368 47.316853801355215,5.391077632520810 46.698522056323910,6.104448397961738 46.662681089252494))"
9,"POLYGON ((8.657948323237804 47.753727967615113,8.851494069127982 48.378544258834040,8.066890733899063 48.436477197514378,7.890037643700349 47.809300882788520,8.657948323237804 47.753727967615113))"
10,"POLYGON ((7.890037643700349 47.809300882788520,8.066890733899063 48.436477197514378,7.289681472358652 48.488487251398382,7.129490384596060 47.859186390446467,7.890037643700349 47.809300882788520))"
11,"POLYGON ((10.539518852419750 46.338590041098833,10.652185049067780 46.639318700507069,10.269583586481723 46.674580196949513,10.160788587390531 46.373136180484892,10.539518852419750 46.338590041098833))"
12,"POLYGON ((10.652185049067780 46.639318700507069,10.766791213404071 46.941721554994253,10.380257658858904 46.977713785060551,10.269583586481723 46.674580196949513,10.652185049067780 46.639318700507069))"
13,"POLYGON ((10.269583586481723 46.674580196949513,10.380257658858904 46.977713785060551,9.995229633242426 47.012226290746462,9.888492063376068 46.708390752550592,10.269583586481723 46.674580196949513))"
14,"POLYGON ((10.160788587390531 46.373136180484892,10.269583586481723 46.674580196949513,9.888492063376068 46.708390752550592,9.783571982694893 46.406259606503959,10.160788587390531 46.373136180484892))"
