# Grid created from dataset flickr_images
# Label,WKT
0,"POLYGON ((10.619655276155134 44.505098209896218,11.066536404102045 45.671727887764462,9.579014061982095 45.807160242475511,9.189905212974633 44.629917687254505,10.619655276155134 44.505098209896218))"
1,"POLYGON ((11.066536404102045 45.671727887764462,11.544173930673830 46.865240326835043,9.995229633242426 47.012226290746462,9.579014061982095 45.807160242475511,11.066536404102045 45.671727887764462))"
2,"POLYGON ((9.189905212974633 44.629917687254505,9.579014061982095 45.807160242475511,8.116483200736917 45.920944695035978,7.785140143296171 44.734731955777214,9.189905212974633 44.629917687254505))"
3,"POLYGON ((7.785140143296171 44.734731955777214,8.116483200736917 45.920944695035978,6.681615068578809 46.014062785969692,6.407735769346235 44.820472445526754,7.785140143296171 44.734731955777214))"
4,"POLYGON ((6.407735769346235 44.820472445526754,6.681615068578809 46.014062785969692,5.276863774082669 46.087582359099265,5.059868846264116 44.888143788910511,6.407735769346235 44.820472445526754))"
5,"POLYGON ((6.974929515996146 47.236951049105357,7.289681472358652 48.488487251398382,5.758967068036454 48.575358667176111,5.509358437021368 47.316853801355215,6.974929515996146 47.236951049105357))"
6,"POLYGON ((11.544173930673830 46.865240326835043,12.055578993495207 48.084767624046599,10.441260284407551 48.244330800084633,9.995229633242426 47.012226290746462,11.544173930673830 46.865240326835043))"
7,"POLYGON ((5.975330264796998 46.053202718844702,6.104448397961738 46.662681089252494,5.391077632520810 46.698522056323910,5.276863774082669 46.087582359099265,5.975330264796998 46.053202718844702))"
8,"POLYGON ((6.104448397961738 46.662681089252494,6.238149795162474 47.279485921695851,5.509358437021368 47.316853801355215,5.391077632520810 46.698522056323910,6.104448397961738 46.662681089252494))"
9,"POLYGON ((8.657948323237804 47.753727967615106,8.851494069127982 48.378544258834033,8.066890733899063 48.436477197514378,7.890037643700349 47.809300882788520,8.657948323237804 47.753727967615106))"
10,"POLYGON ((7.890037643700349 47.809300882788520,8.066890733899063 48.436477197514378,7.289681472358652 48.488487251398382,7.129490384596060 47.859186390446467,7.890037643700349 47.809300882788520))"
11,"POLYGON ((9.432845173937748 47.692324919085756,9.643089831338296 48.314541832926466,8.851494069127982 48.378544258834033,8.657948323237804 47.753727967615106,9.432845173937748 47.692324919085756))"
12,"POLYGON ((10.214335495271671 47.624955908553474,10.441260284407551 48.244330800084633,9.643089831338296 48.314541832926466,9.432845173937748 47.692324919085756,10.214335495271671 47.624955908553474))"
13,"POLYGON ((9.579014061982095 45.807160242475511,9.680426512250161 46.105845490035861,9.308586289659647 46.136915813539851,9.210930476051985 45.837599131710078,9.579014061982095 45.807160242475511))"
14,"POLYGON ((9.308586289659647 46.136915813539851,9.407915444857883 46.437975025984592,9.033864565673641 46.468297578177882,8.938352126244570 46.166620624623214,9.308586289659647 46.136915813539851))"
15,"POLYGON ((9.680426512250161 46.105845490035861,9.783571982694893 46.406259606503959,9.407915444857883 46.437975025984592,9.308586289659647 46.136915813539851,9.680426512250161 46.105845490035861))"
16,"POLYGON ((9.783571982694893 46.406259606503959,9.888492063376068 46.708390752550592,9.508958273649842 46.740765226376702,9.407915444857883 46.437975025984592,9.783571982694893 46.406259606503959))"
17,"POLYGON ((9.508958273649842 46.740765226376702,9.611756365859899 47.045274080557789,9.229886243727718 47.076872630420745,9.131029182638482 46.771718927085871,9.508958273649842 46.740765226376702))"
18,"POLYGON ((9.407915444857883 46.437975025984592,9.508958273649842 46.740765226376702,9.131029182638482 46.771718927085871,9.033864565673641 46.468297578177882,9.407915444857883 46.437975025984592))"
19,"POLYGON ((9.033864565673641 46.468297578177882,9.131029182638482 46.771718927085871,8.754750905229029 46.801267596105795,8.661464101722173 46.497242818376414,9.033864565673641 46.468297578177882))"
20,"POLYGON ((9.131029182638482 46.771718927085871,9.229886243727718 47.076872630420745,8.849666788199317 47.107037866411112,8.754750905229029 46.801267596105795,9.131029182638482 46.771718927085871))"
21,"POLYGON ((8.754750905229029 46.801267596105795,8.849666788199317 47.107037866411112,8.471144633014832 47.135786147293096,8.380168685344744 46.829427390640269,8.754750905229029 46.801267596105795))"
22,"POLYGON ((8.661464101722173 46.497242818376414,8.754750905229029 46.801267596105795,8.380168685344744 46.829427390640269,8.290757955202984 46.524826701378764,8.661464101722173 46.497242818376414))"
23,"POLYGON ((8.569767466600860 46.194975291222995,8.661464101722173 46.497242818376414,8.290757955202984 46.524826701378764,8.202874917433583 46.221995565130193,8.569767466600860 46.194975291222995))"
24,"POLYGON ((8.938352126244570 46.166620624623214,9.033864565673641 46.468297578177882,8.661464101722173 46.497242818376414,8.569767466600860 46.194975291222995,8.938352126244570 46.166620624623214))"
25,"POLYGON ((8.844452822672201 45.866699322341717,8.938352126244570 46.166620624623214,8.569767466600860 46.194975291222995,8.479623279015842 45.894475993981239,8.844452822672201 45.866699322341717))"
26,"POLYGON ((8.479623279015842 45.894475993981239,8.569767466600860 46.194975291222995,8.202874917433583 46.221995565130193,8.116483200736917 45.920944695035978,8.479623279015842 45.894475993981239))"
27,"POLYGON ((6.681615068578809 46.014062785969692,6.753047738292168 46.317060295376415,6.395224423808759 46.337657179846090,6.327512883644395 46.034236662728617,6.681615068578809 46.014062785969692))"
28,"POLYGON ((6.395224423808759 46.337657179846090,6.464116618699084 46.642910035436380,6.104448397961738 46.662681089252494,6.039330422848942 46.357021331906907,6.395224423808759 46.337657179846090))"
29,"POLYGON ((6.464116618699084 46.642910035436380,6.534218724673702 46.949985685189482,6.170711962889471 46.970172646973730,6.104448397961738 46.662681089252494,6.464116618699084 46.642910035436380))"
30,"POLYGON ((6.825723722447417 46.621880804618932,6.899673743247255 46.928514557723190,6.534218724673702 46.949985685189482,6.464116618699084 46.642910035436380,6.825723722447417 46.621880804618932))"
31,"POLYGON ((6.899673743247255 46.928514557723190,6.974929515996146 47.236951049105357,6.605560947618245 47.258873840373717,6.534218724673702 46.949985685189482,6.899673743247255 46.928514557723190))"
32,"POLYGON ((7.554599845652008 46.575976112457930,7.636268925612545 46.881646961027428,7.267037353541672 46.905740975426411,7.189231261228175 46.599575397259066,7.554599845652008 46.575976112457930))"
33,"POLYGON ((7.037600675355394 45.992663659611345,7.112763091317550 46.295212965716914,6.753047738292168 46.317060295376415,6.681615068578809 46.014062785969692,7.037600675355394 45.992663659611345))"
34,"POLYGON ((7.474332289426683 46.272097764033767,7.554599845652008 46.575976112457930,7.189231261228175 46.599575397259066,7.112763091317550 46.295212965716914,7.474332289426683 46.272097764033767))"
